n,r0c1,r0c2,r1c1,r1c2,r2c1,r2c2,r3c1,r3c2,r4c1,r4c2,r5c1,r5c2,r6c1,r6c2,r7c1,r7c2,r8c1,r8c2,r9c1,r9c2,r10c1,r10c2,r11c1,r11c2
12,0,4,5,7,8,11,2,4,6,9,0,2,3,11,8,10,1,10,5,7,1,6,3,9
12,0,3,4,8,7,9,3,4,6,9,1,11,1,2,5,11,6,10,2,10,0,7,5,8
12,0,10,5,6,6,9,0,3,1,3,7,11,4,8,2,10,1,11,2,4,8,9,5,7
12,1,2,7,8,2,8,5,7,5,11,0,1,10,11,0,6,4,6,3,9,3,4,9,10
12,0,5,8,10,3,5,6,11,0,3,1,9,4,10,1,9,2,7,4,11,7,8,2,6
12,2,3,0,1,6,8,6,7,2,11,4,10,1,7,0,9,4,5,3,5,10,11,8,9
12,1,7,1,6,0,4,0,9,5,8,8,9,2,3,3,6,2,11,7,11,5,10,4,10
12,1,5,5,8,3,6,9,10,0,10,2,4,6,11,0,3,7,11,7,9,1,4,2,8
12,1,7,5,7,6,10,0,2,9,10,4,6,1,11,2,3,4,8,9,11,0,3,5,8
12,1,8,5,8,3,6,9,11,0,3,1,11,6,9,0,4,7,10,2,4,7,10,2,5
12,1,8,5,11,4,8,1,4,3,6,0,10,6,9,10,11,0,3,2,7,7,9,2,5
12,2,8,1,4,7,9,7,11,0,3,6,11,2,4,0,10,9,10,3,6,5,8,1,5
12,2,5,7,9,2,7,0,3,10,11,6,9,0,10,3,6,1,4,4,8,5,11,1,8
12,1,9,6,8,4,8,4,11,1,6,9,11,0,2,5,10,0,7,3,7,3,5,2,10
12,2,5,7,10,2,4,7,10,0,4,6,9,1,11,0,3,9,11,3,6,5,8,1,8
12,2,6,7,8,4,11,2,7,1,9,4,10,1,9,0,3,6,11,3,5,8,10,0,5
12,4,7,0,5,9,11,2,4,7,9,1,11,2,6,8,10,0,1,3,6,8,10,3,5
12,4,7,0,10,5,11,2,7,5,10,0,1,2,6,8,9,1,11,3,9,3,4,6,8
12,4,7,1,11,0,6,4,9,1,6,10,11,5,9,2,3,0,10,2,8,7,8,3,5
12,4,7,6,11,0,2,7,9,2,4,0,10,5,9,1,3,10,11,5,8,1,3,6,8
12,2,8,5,10,4,6,1,10,1,3,0,8,9,11,2,5,7,9,0,3,4,6,7,11
12,4,6,2,3,7,9,0,10,1,9,3,7,0,4,8,10,8,11,2,5,5,6,1,11
12,3,6,4,11,1,9,1,5,0,6,9,10,0,10,2,5,7,8,2,4,3,7,8,11
12,3,5,7,8,2,8,0,10,2,3,5,9,10,11,1,6,4,9,0,6,1,11,4,7
12,3,5,7,11,0,5,1,2,8,9,1,4,7,10,2,3,9,10,6,11,0,4,6,8
12,4,6,6,11,9,11,1,2,1,3,7,8,3,4,8,10,9,10,0,2,0,5,5,7
12,3,5,8,10,3,6,0,1,8,10,2,6,1,11,7,9,2,4,9,11,0,5,4,7
12,3,6,8,11,0,2,3,7,8,9,0,10,5,7,1,2,9,11,1,5,4,6,4,10
